Channel,stim_cond,SPK_count
A-001,2,0
A-002,2,3
A-003,2,4
A-004,2,4
A-005,2,0
A-006,2,2
A-007,2,10
A-001,7,3
A-002,7,2
A-003,7,9
A-004,7,11
A-005,7,1
A-006,7,1
A-007,7,8
A-001,2,1
A-002,2,1
A-003,2,11
A-004,2,4
A-005,2,0
A-006,2,0
A-007,2,21
A-001,4,3
A-002,4,0
A-003,4,14
A-004,4,7
A-005,4,0
A-006,4,0
A-007,4,25
A-001,3,7
A-002,3,10
A-003,3,35
A-004,3,24
A-005,3,5
A-006,3,3
A-007,3,103
A-001,6,14
A-002,6,25
A-003,6,64
A-004,6,41
A-005,6,6
A-006,6,6
A-007,6,186
A-001,3,4
A-002,3,2
A-003,3,21
A-004,3,10
A-005,3,2
A-006,3,1
A-007,3,44
A-001,4,4
A-002,4,8
A-003,4,22
A-004,4,20
A-005,4,2
A-006,4,1
A-007,4,79
A-001,4,5
A-002,4,7
A-003,4,28
A-004,4,16
A-005,4,1
A-006,4,0
A-007,4,68
A-001,4,0
A-002,4,2
A-003,4,8
A-004,4,9
A-005,4,0
A-006,4,1
A-007,4,25
A-001,1,4
A-002,1,6
A-003,1,8
A-004,1,4
A-005,1,2
A-006,1,1
A-007,1,36
A-001,2,7
A-002,2,2
A-003,2,7
A-004,2,8
A-005,2,0
A-006,2,2
A-007,2,42
A-001,2,4
A-002,2,3
A-003,2,19
A-004,2,8
A-005,2,3
A-006,2,0
A-007,2,28
A-001,2,4
A-002,2,2
A-003,2,10
A-004,2,9
A-005,2,1
A-006,2,0
A-007,2,28
A-001,1,4
A-002,1,3
A-003,1,11
A-004,1,6
A-005,1,6
A-006,1,0
A-007,1,29
A-001,1,6
A-002,1,6
A-003,1,27
A-004,1,20
A-005,1,2
A-006,1,1
A-007,1,75
A-001,1,1
A-002,1,5
A-003,1,10
A-004,1,10
A-005,1,0
A-006,1,0
A-007,1,42
A-001,5,7
A-002,5,4
A-003,5,20
A-004,5,16
A-005,5,3
A-006,5,2
A-007,5,43
A-001,2,3
A-002,2,4
A-003,2,10
A-004,2,7
A-005,2,2
A-006,2,0
A-007,2,14
A-001,1,7
A-002,1,0
A-003,1,10
A-004,1,6
A-005,1,2
A-006,1,1
A-007,1,22
A-001,1,4
A-002,1,4
A-003,1,6
A-004,1,4
A-005,1,0
A-006,1,0
A-007,1,32
A-001,6,0
A-002,6,1
A-003,6,1
A-004,6,1
A-005,6,2
A-006,6,0
A-007,6,7
A-001,7,2
A-002,7,4
A-003,7,10
A-004,7,9
A-005,7,1
A-006,7,0
A-007,7,30
A-001,8,6
A-002,8,8
A-003,8,33
A-004,8,25
A-005,8,2
A-006,8,1
A-007,8,88
A-001,9,1
A-002,9,3
A-003,9,10
A-004,9,6
A-005,9,0
A-006,9,1
A-007,9,17
A-001,9,2
A-002,9,1
A-003,9,6
A-004,9,4
A-005,9,0
A-006,9,0
A-007,9,20
A-001,3,0
A-002,3,2
A-003,3,10
A-004,3,3
A-005,3,1
A-006,3,0
A-007,3,12
A-001,8,5
A-002,8,1
A-003,8,9
A-004,8,12
A-005,8,1
A-006,8,0
A-007,8,26
A-001,3,0
A-002,3,0
A-003,3,2
A-004,3,1
A-005,3,0
A-006,3,0
A-007,3,9
A-001,7,1
A-002,7,3
A-003,7,8
A-004,7,8
A-005,7,0
A-006,7,0
A-007,7,14
A-001,6,16
A-002,6,24
A-003,6,72
A-004,6,50
A-005,6,5
A-006,6,3
A-007,6,170
A-001,6,2
A-002,6,6
A-003,6,13
A-004,6,12
A-005,6,2
A-006,6,0
A-007,6,29
A-001,8,1
A-002,8,2
A-003,8,7
A-004,8,7
A-005,8,1
A-006,8,0
A-007,8,16
A-001,3,9
A-002,3,12
A-003,3,32
A-004,3,23
A-005,3,4
A-006,3,1
A-007,3,71
A-001,7,6
A-002,7,5
A-003,7,24
A-004,7,11
A-005,7,1
A-006,7,1
A-007,7,48
A-001,8,4
A-002,8,1
A-003,8,17
A-004,8,3
A-005,8,3
A-006,8,2
A-007,8,40
A-001,9,4
A-002,9,3
A-003,9,14
A-004,9,4
A-005,9,0
A-006,9,0
A-007,9,33
A-001,9,0
A-002,9,3
A-003,9,15
A-004,9,4
A-005,9,2
A-006,9,2
A-007,9,29
A-001,9,4
A-002,9,3
A-003,9,12
A-004,9,5
A-005,9,4
A-006,9,0
A-007,9,29
A-001,5,4
A-002,5,6
A-003,5,8
A-004,5,4
A-005,5,2
A-006,5,1
A-007,5,36
A-001,5,4
A-002,5,3
A-003,5,11
A-004,5,6
A-005,5,6
A-006,5,0
A-007,5,29
A-001,5,6
A-002,5,6
A-003,5,27
A-004,5,20
A-005,5,2
A-006,5,1
A-007,5,75
A-001,5,1
A-002,5,5
A-003,5,10
A-004,5,10
A-005,5,0
A-006,5,0
A-007,5,42
