,Channel,stim_cond,SPK_count
0,A-001,2,0
1,A-002,2,3
2,A-003,2,4
3,A-004,2,4
4,A-005,2,0
5,A-006,2,2
6,A-007,2,10
7,A-001,2,3
8,A-002,2,2
9,A-003,2,9
10,A-004,2,11
11,A-005,2,1
12,A-006,2,1
13,A-007,2,8
14,A-001,2,1
15,A-002,2,1
16,A-003,2,11
17,A-004,2,4
18,A-005,2,0
19,A-006,2,0
20,A-007,2,21
21,A-001,4,3
22,A-002,4,0
23,A-003,4,14
24,A-004,4,7
25,A-005,4,0
26,A-006,4,0
27,A-007,4,25
28,A-001,3,7
29,A-002,3,10
30,A-003,3,35
31,A-004,3,24
32,A-005,3,5
33,A-006,3,3
34,A-007,3,103
35,A-001,4,14
36,A-002,4,25
37,A-003,4,64
38,A-004,4,41
39,A-005,4,6
40,A-006,4,6
41,A-007,4,186
42,A-001,3,4
43,A-002,3,2
44,A-003,3,21
45,A-004,3,10
46,A-005,3,2
47,A-006,3,1
48,A-007,3,44
49,A-001,4,4
50,A-002,4,8
51,A-003,4,22
52,A-004,4,20
53,A-005,4,2
54,A-006,4,1
55,A-007,4,79
56,A-001,4,5
57,A-002,4,7
58,A-003,4,28
59,A-004,4,16
60,A-005,4,1
61,A-006,4,0
62,A-007,4,68
63,A-001,4,0
64,A-002,4,2
65,A-003,4,8
66,A-004,4,9
67,A-005,4,0
68,A-006,4,1
69,A-007,4,25
70,A-001,1,4
71,A-002,1,6
72,A-003,1,8
73,A-004,1,4
74,A-005,1,2
75,A-006,1,1
76,A-007,1,36
77,A-001,2,7
78,A-002,2,2
79,A-003,2,7
80,A-004,2,8
81,A-005,2,0
82,A-006,2,2
83,A-007,2,42
84,A-001,2,4
85,A-002,2,3
86,A-003,2,19
87,A-004,2,8
88,A-005,2,3
89,A-006,2,0
90,A-007,2,28
91,A-001,2,4
92,A-002,2,2
93,A-003,2,10
94,A-004,2,9
95,A-005,2,1
96,A-006,2,0
97,A-007,2,28
98,A-001,1,4
99,A-002,1,3
100,A-003,1,11
101,A-004,1,6
102,A-005,1,6
103,A-006,1,0
104,A-007,1,29
105,A-001,1,6
106,A-002,1,6
107,A-003,1,27
108,A-004,1,20
109,A-005,1,2
110,A-006,1,1
111,A-007,1,75
112,A-001,1,1
113,A-002,1,5
114,A-003,1,10
115,A-004,1,10
116,A-005,1,0
117,A-006,1,0
118,A-007,1,42
119,A-001,1,7
120,A-002,1,4
121,A-003,1,20
122,A-004,1,16
123,A-005,1,3
124,A-006,1,2
125,A-007,1,43
126,A-001,2,3
127,A-002,2,4
128,A-003,2,10
129,A-004,2,7
130,A-005,2,2
131,A-006,2,0
132,A-007,2,14
133,A-001,1,7
134,A-002,1,0
135,A-003,1,10
136,A-004,1,6
137,A-005,1,2
138,A-006,1,1
139,A-007,1,22
140,A-001,1,4
141,A-002,1,4
142,A-003,1,6
143,A-004,1,4
144,A-005,1,0
145,A-006,1,0
146,A-007,1,32
147,A-001,3,0
148,A-002,3,1
149,A-003,3,1
150,A-004,3,1
151,A-005,3,2
152,A-006,3,0
153,A-007,3,7
154,A-001,2,2
155,A-002,2,4
156,A-003,2,10
157,A-004,2,9
158,A-005,2,1
159,A-006,2,0
160,A-007,2,30
161,A-001,4,6
162,A-002,4,8
163,A-003,4,33
164,A-004,4,25
165,A-005,4,2
166,A-006,4,1
167,A-007,4,88
168,A-001,4,1
169,A-002,4,3
170,A-003,4,10
171,A-004,4,6
172,A-005,4,0
173,A-006,4,1
174,A-007,4,17
175,A-001,2,2
176,A-002,2,1
177,A-003,2,6
178,A-004,2,4
179,A-005,2,0
180,A-006,2,0
181,A-007,2,20
182,A-001,3,0
183,A-002,3,2
184,A-003,3,10
185,A-004,3,3
186,A-005,3,1
187,A-006,3,0
188,A-007,3,12
189,A-001,2,5
190,A-002,2,1
191,A-003,2,9
192,A-004,2,12
193,A-005,2,1
194,A-006,2,0
195,A-007,2,26
196,A-001,3,0
197,A-002,3,0
198,A-003,3,2
199,A-004,3,1
200,A-005,3,0
201,A-006,3,0
202,A-007,3,9
203,A-001,4,1
204,A-002,4,3
205,A-003,4,8
206,A-004,4,8
207,A-005,4,0
208,A-006,4,0
209,A-007,4,14
210,A-001,3,16
211,A-002,3,24
212,A-003,3,72
213,A-004,3,50
214,A-005,3,5
215,A-006,3,3
216,A-007,3,170
217,A-001,3,2
218,A-002,3,6
219,A-003,3,13
220,A-004,3,12
221,A-005,3,2
222,A-006,3,0
223,A-007,3,29
224,A-001,2,1
225,A-002,2,2
226,A-003,2,7
227,A-004,2,7
228,A-005,2,1
229,A-006,2,0
230,A-007,2,16
231,A-001,3,9
232,A-002,3,12
233,A-003,3,32
234,A-004,3,23
235,A-005,3,4
236,A-006,3,1
237,A-007,3,71
238,A-001,2,6
239,A-002,2,5
240,A-003,2,24
241,A-004,2,11
242,A-005,2,1
243,A-006,2,1
244,A-007,2,48
245,A-001,4,4
246,A-002,4,1
247,A-003,4,17
248,A-004,4,3
249,A-005,4,3
250,A-006,4,2
251,A-007,4,40
252,A-001,1,4
253,A-002,1,3
254,A-003,1,14
255,A-004,1,4
256,A-005,1,0
257,A-006,1,0
258,A-007,1,33
259,A-001,1,0
260,A-002,1,3
261,A-003,1,15
262,A-004,1,4
263,A-005,1,2
264,A-006,1,2
265,A-007,1,29
266,A-001,2,4
267,A-002,2,3
268,A-003,2,12
269,A-004,2,5
270,A-005,2,4
271,A-006,2,0
272,A-007,2,29
