,Channel,stim_cond,SPK_count
0,A-002,a,1
1,A-002,c,1
2,A-001,c,1
3,A-002,c,2
4,A-001,c,2
5,A-001,b,1
6,A-002,b,1
7,A-001,b,2
8,A-002,b,2
9,A-002,b,3
10,A-001,b,3
11,A-002,d,1
12,A-002,d,2
13,A-002,d,3
14,A-002,e,1
15,A-002,e,2
16,A-002,e,3
17,A-001,e,1
18,A-002,a,1
19,A-001,a,1
20,A-002,a,2
21,A-001,d,1
22,A-001,d,2
23,A-002,d,1
24,A-001,d,3
25,A-001,d,4
26,A-002,d,2
27,A-001,d,5
28,A-001,d,6
29,A-002,c,1
30,A-002,c,2
31,A-002,c,3
32,A-002,c,4
33,A-001,c,1
34,A-002,c,5
35,A-002,b,1
36,A-001,b,1
37,A-002,b,2
38,A-002,e,1
39,A-002,e,2
40,A-002,e,3
41,A-001,e,1
42,A-002,e,4
43,A-001,e,2
44,A-002,d,1
45,A-001,d,1
46,A-002,d,2
47,A-001,d,2
48,A-002,d,3
49,A-001,d,3
50,A-001,e,1
51,A-002,e,1
52,A-002,e,2
53,A-001,b,1
54,A-002,b,1
55,A-002,b,2
56,A-002,b,3
57,A-001,b,2
58,A-001,b,3
59,A-002,b,4
60,A-001,c,1
61,A-002,c,1
62,A-002,c,2
63,A-002,a,1
64,A-001,a,1
65,A-001,a,2
66,A-001,a,3
67,A-002,a,2
68,A-002,e,1
69,A-002,e,2
70,A-002,a,1
71,A-002,a,2
72,A-001,a,1
73,A-002,a,3
74,A-002,c,1
75,A-001,c,1
76,A-001,c,2
77,A-001,c,3
78,A-001,d,1
79,A-001,d,2
80,A-002,d,1
81,A-001,d,3
82,A-001,d,4
83,A-001,b,1
84,A-001,b,2
85,A-002,b,1
86,A-002,b,2
87,A-002,b,3
88,A-002,b,4
89,A-002,b,5
90,A-001,b,3
