Cell Number,Trial Number,Stimulus Diameter,Spike Count,Layer
cell0,1,0.10000000000000002,12.0,b'LSG'
cell0,1,0.20000000000000004,24.0,b'LSG'
cell0,1,0.4000000000000001,25.0,b'LSG'
cell0,1,0.5,26.0,b'LSG'
cell0,1,0.6000000000000001,28.0,b'LSG'
cell0,1,0.8000000000000002,24.0,b'LSG'
cell0,1,1.0,28.0,b'LSG'
cell0,1,1.2000000000000002,38.0,b'LSG'
cell0,1,1.4999999999999998,20.0,b'LSG'
cell0,1,1.8000000000000003,13.0,b'LSG'
cell0,1,1.9999999999999998,6.0,b'LSG'
cell0,1,2.4000000000000004,19.0,b'LSG'
cell0,1,3.0000000000000004,11.0,b'LSG'
cell0,1,3.5000000000000004,11.0,b'LSG'
cell0,1,5.000000000000001,3.0,b'LSG'
cell0,1,10.000000000000002,14.0,b'LSG'
cell0,1,15.0,8.0,b'LSG'
cell0,1,20.000000000000004,8.0,b'LSG'
cell0,1,26.000000000000007,8.0,b'LSG'
cell0,2,0.10000000000000002,6.0,b'LSG'
cell0,2,0.20000000000000004,22.0,b'LSG'
cell0,2,0.4000000000000001,22.0,b'LSG'
cell0,2,0.5,12.0,b'LSG'
cell0,2,0.6000000000000001,16.0,b'LSG'
cell0,2,0.8000000000000002,13.0,b'LSG'
cell0,2,1.0,16.0,b'LSG'
cell0,2,1.2000000000000002,18.0,b'LSG'
cell0,2,1.4999999999999998,21.0,b'LSG'
cell0,2,1.8000000000000003,3.0,b'LSG'
cell0,2,1.9999999999999998,22.0,b'LSG'
cell0,2,2.4000000000000004,10.0,b'LSG'
cell0,2,3.0000000000000004,12.0,b'LSG'
cell0,2,3.5000000000000004,14.0,b'LSG'
cell0,2,5.000000000000001,11.0,b'LSG'
cell0,2,10.000000000000002,3.0,b'LSG'
cell0,2,15.0,0.0,b'LSG'
cell0,2,20.000000000000004,15.0,b'LSG'
cell0,2,26.000000000000007,2.0,b'LSG'
cell0,3,0.10000000000000002,9.0,b'LSG'
cell0,3,0.20000000000000004,14.0,b'LSG'
cell0,3,0.4000000000000001,18.0,b'LSG'
cell0,3,0.5,16.0,b'LSG'
cell0,3,0.6000000000000001,17.0,b'LSG'
cell0,3,0.8000000000000002,13.0,b'LSG'
cell0,3,1.0,14.0,b'LSG'
cell0,3,1.2000000000000002,20.0,b'LSG'
cell0,3,1.4999999999999998,14.0,b'LSG'
cell0,3,1.8000000000000003,13.0,b'LSG'
cell0,3,1.9999999999999998,19.0,b'LSG'
cell0,3,2.4000000000000004,10.0,b'LSG'
cell0,3,3.0000000000000004,10.0,b'LSG'
cell0,3,3.5000000000000004,7.0,b'LSG'
cell0,3,5.000000000000001,8.0,b'LSG'
cell0,3,10.000000000000002,6.0,b'LSG'
cell0,3,15.0,5.0,b'LSG'
cell0,3,20.000000000000004,7.0,b'LSG'
cell0,3,26.000000000000007,10.0,b'LSG'
cell0,4,0.10000000000000002,5.0,b'LSG'
cell0,4,0.20000000000000004,13.0,b'LSG'
cell0,4,0.4000000000000001,10.0,b'LSG'
cell0,4,0.5,17.0,b'LSG'
cell0,4,0.6000000000000001,18.0,b'LSG'
cell0,4,0.8000000000000002,13.0,b'LSG'
cell0,4,1.0,18.0,b'LSG'
cell0,4,1.2000000000000002,13.0,b'LSG'
cell0,4,1.4999999999999998,20.0,b'LSG'
cell0,4,1.8000000000000003,11.0,b'LSG'
cell0,4,1.9999999999999998,15.0,b'LSG'
cell0,4,2.4000000000000004,16.0,b'LSG'
cell0,4,3.0000000000000004,18.0,b'LSG'
cell0,4,3.5000000000000004,11.0,b'LSG'
cell0,4,5.000000000000001,2.0,b'LSG'
cell0,4,10.000000000000002,3.0,b'LSG'
cell0,4,15.0,4.0,b'LSG'
cell0,4,20.000000000000004,14.0,b'LSG'
cell0,4,26.000000000000007,5.0,b'LSG'
cell0,5,0.10000000000000002,5.0,b'LSG'
cell0,5,0.20000000000000004,9.0,b'LSG'
cell0,5,0.4000000000000001,10.0,b'LSG'
cell0,5,0.5,19.0,b'LSG'
cell0,5,0.6000000000000001,10.0,b'LSG'
cell0,5,0.8000000000000002,8.0,b'LSG'
cell0,5,1.0,15.0,b'LSG'
cell0,5,1.2000000000000002,19.0,b'LSG'
cell0,5,1.4999999999999998,31.0,b'LSG'
cell0,5,1.8000000000000003,11.0,b'LSG'
cell0,5,1.9999999999999998,10.0,b'LSG'
cell0,5,2.4000000000000004,5.0,b'LSG'
cell0,5,3.0000000000000004,10.0,b'LSG'
cell0,5,3.5000000000000004,6.0,b'LSG'
cell0,5,5.000000000000001,13.0,b'LSG'
cell0,5,10.000000000000002,4.0,b'LSG'
cell0,5,15.0,4.0,b'LSG'
cell0,5,20.000000000000004,7.0,b'LSG'
cell0,5,26.000000000000007,6.0,b'LSG'
cell0,6,0.10000000000000002,3.0,b'LSG'
cell0,6,0.20000000000000004,21.0,b'LSG'
cell0,6,0.4000000000000001,24.0,b'LSG'
cell0,6,0.5,15.0,b'LSG'
cell0,6,0.6000000000000001,9.0,b'LSG'
cell0,6,0.8000000000000002,10.0,b'LSG'
